is_auth,is_order,is_payment,z_latency,z_errors,z_warns,traffic_delta,anomaly_count,label
0,1,0,-1.657,-0.577,0.764,-0.03,0,0
1,0,0,2.863,1.003,13.546,-0.057,2,1
0,0,1,0.007,-0.179,-0.008,-0.046,0,0
0,1,0,1.877,-0.308,0.136,-0.039,0,0
0,1,0,0.617,0.596,0.239,-0.122,0,0
0,0,1,-0.58,0.377,0.202,0.091,0,0
0,0,1,1.82,-0.261,0.03,-0.025,0,0
0,1,0,3.949,1.413,13.815,-0.031,2,1
0,1,0,0.468,-0.12,0.212,0.011,0,0
0,1,0,2.376,16.723,15.47,0.042,2,1
1,0,0,0.319,-0.188,-0.069,0.082,0,0
0,0,1,7.253,0.133,4.369,0.037,2,1
0,0,1,1.391,0.385,0.513,0.055,0,0
0,0,1,0.684,0.616,0.943,-0.03,0,0
0,0,1,0.023,-0.548,-0.031,0.133,0,0
0,0,1,0.208,-0.161,0.77,2.329,1,0
1,0,0,-0.506,0.051,0.106,0.032,0,0
1,0,0,10.326,-0.182,4.264,0.099,2,1
0,1,0,-0.751,0.006,0.955,2.108,1,0
0,0,1,0.45,-0.102,0.272,0.145,0,0
0,0,1,-0.324,-0.1,-0.4,0.031,0,0
0,0,1,-0.132,-0.145,-0.4,0.218,0,0
0,1,0,2.008,0.619,13.837,-0.021,1,1
0,1,0,-1.366,0.145,0.654,0.036,0,0
0,0,1,-1.665,0.694,-0.132,-0.052,0,0
0,1,0,0.693,0.207,0.487,0.05,0,0
0,0,1,1.113,-0.283,-0.4,-0.023,0,0
0,1,0,2.938,5.745,13.929,0.046,3,1
0,0,1,5.275,29.765,8.388,0.015,3,1
0,0,1,-1.463,-0.514,0.206,0.003,0,0
1,0,0,0.181,-0.281,-0.235,-0.059,0,0
0,1,0,-0.138,0.142,-0.047,-0.026,0,0
0,0,1,4.352,-0.288,10.336,-0.183,2,1
1,0,0,4.03,-0.495,11.811,-0.338,2,1
1,0,0,9.844,-0.147,5.83,0.102,2,1
0,0,1,9.001,0.323,5.336,-0.048,2,1
0,0,1,-0.49,-0.362,-0.165,0.068,0,0
0,0,1,-0.659,0.141,-0.4,0.082,0,0
0,0,1,0.759,-0.242,0.1,-0.129,0,0
0,0,1,0.432,0.082,0.121,-0.023,0,0
1,0,0,-1.866,0.015,-0.369,0.088,0,0
0,0,1,2.841,1.238,17.227,-0.046,2,1
0,1,0,-1.19,-0.26,0.263,0.083,0,0
1,0,0,-1.031,-0.257,0.24,-0.099,0,0
0,0,1,5.591,-0.021,8.619,2.815,3,1
1,0,0,1.031,-0.256,-0.253,0.045,0,0
1,0,0,-0.912,0.256,-0.603,0.087,0,0
1,0,0,-1.512,-0.276,0.511,-0.037,0,0
0,0,1,-1.846,-0.375,-0.4,0.074,0,0
0,0,1,7.117,-0.107,7.504,-0.273,2,1
0,1,0,6.834,-0.667,5.453,4.624,3,1
0,0,1,-0.155,0.128,0.192,0.02,0,0
0,0,1,7.502,0.202,6.721,-0.058,2,1
0,1,0,1.379,0.099,0.289,-0.061,0,0
1,0,0,-0.367,-0.279,0.385,-0.064,0,0
0,1,0,4.737,0.118,6.206,-0.243,2,1
0,0,1,3.924,-0.059,7.893,5.391,3,1
1,0,0,1.165,0.479,-0.505,-0.081,0,0
0,1,0,8.717,-0.081,6.796,4.847,3,1
0,1,0,1.099,0.359,-0.261,-0.052,0,0
0,1,0,0.652,-0.369,0.24,-0.071,0,0
0,0,1,2.947,1.408,12.458,-0.043,2,1
0,1,0,0.404,0.283,0.44,-0.124,0,0
0,1,0,7.438,-0.355,5.921,0.074,2,1
0,1,0,6.411,0.01,9.774,-0.209,2,1
1,0,0,-2.002,0.086,1.085,-0.02,0,0
1,0,0,1.951,0.051,0.428,-0.116,0,0
0,1,0,-0.603,-0.177,-0.508,-0.033,0,0
1,0,0,6.448,0.024,8.452,-0.119,2,1
0,1,0,1.183,0.006,1.345,3.259,1,0
0,0,1,5.537,0.221,6.89,5.332,3,1
0,1,0,7.031,0.091,3.163,0.111,2,1
1,0,0,5.507,-0.067,3.571,0.141,2,1
0,0,1,0.92,-0.667,-0.4,0.126,0,0
0,0,1,-1.419,0.333,-0.145,0.001,0,0
0,1,0,4.838,1.306,14.955,0.078,2,1
0,1,0,0.935,-0.264,0.499,0.007,0,0
0,1,0,-1.389,-0.246,-0.49,-0.095,0,0
0,0,1,7.428,0.09,4.521,-0.036,2,1
1,0,0,0.258,-0.21,0.032,0.079,0,0
0,1,0,0.269,0.164,-0.04,-0.121,0,0
1,0,0,-1.897,0.562,-0.327,-0.013,0,0
0,1,0,2.349,0.885,18.715,-0.021,1,1
0,0,1,2.379,-0.074,-0.4,0.007,0,0
0,1,0,4.08,1.564,14.843,-0.045,2,1
0,0,1,-0.534,0.177,0.267,0.088,0,0
0,0,1,0.874,0.071,0.258,0.158,0,0
0,0,1,-1.119,0.284,-0.4,0.005,0,0
0,0,1,-0.727,-0.015,0.46,-0.014,0,0
0,1,0,0.005,0.165,0.22,-0.039,0,0
0,1,0,-0.83,-0.264,0.958,3.022,1,0
1,0,0,5.886,0.041,4.956,5.847,3,1
1,0,0,0.857,-0.234,-0.062,-0.029,0,0
0,1,0,1.256,0.192,1.031,-0.005,0,0
0,0,1,3.987,-0.078,11.581,-0.206,2,1
0,0,1,11.942,0.094,3.761,-0.001,2,1
0,0,1,3.583,46.328,16.638,0.159,3,1
1,0,0,7.405,-0.073,6.673,-0.165,2,1
0,0,1,-1.002,0.071,0.047,-0.089,0,0
1,0,0,1.225,0.14,0.2,-0.037,0,0
1,0,0,1.867,1.161,14.653,0.053,1,1
1,0,0,7.945,-0.019,6.228,3.36,3,1
1,0,0,1.098,0.159,0.383,0.01,0,0
0,1,0,10.411,0.241,5.534,0.151,2,1
1,0,0,0.616,0.013,-0.021,0.023,0,0
0,0,1,6.929,-0.365,5.184,0.032,2,1
0,1,0,-0.346,0.277,0.022,-0.135,0,0
0,0,1,10.251,0.169,3.431,-0.126,2,1
0,1,0,-0.2,0.333,-0.211,0.049,0,0
0,0,1,-0.205,-0.016,1.344,2.595,1,0
0,1,0,-0.48,-0.406,0.038,-0.036,0,0
0,1,0,0.242,-0.112,0.235,0.036,0,0
1,0,0,0.929,-0.009,-0.192,-0.023,0,0
1,0,0,0.538,0.197,0.515,0.032,0,0
1,0,0,-0.378,-0.242,0.016,0.056,0,0
1,0,0,4.517,1.607,13.037,-0.015,2,1
0,1,0,-0.379,0.108,0.575,-0.186,0,0
0,1,0,0.375,-0.217,0.511,0.082,0,0
1,0,0,0.003,0.327,0.094,0.205,0,0
1,0,0,5.395,1.394,16.431,0.209,2,1
0,1,0,-0.792,-0.132,-0.284,0.012,0,0
0,1,0,2.098,-0.335,-0.453,0.063,0,0
0,0,1,0.402,0.009,-0.264,0.108,0,0
0,0,1,1.277,-0.183,1.419,2.179,1,0
0,1,0,0.432,0.185,0.139,-0.074,0,0
0,1,0,0.579,0.301,0.57,-0.074,0,0
1,0,0,0.962,-0.196,0.402,0.129,0,0
0,0,1,5.459,1.089,16.858,0.023,2,1
0,0,1,-1.027,-0.003,-0.224,-0.04,0,0
0,0,1,0.506,-0.593,-0.4,-0.109,0,0
1,0,0,2.451,2.097,14.486,-0.075,2,1
1,0,0,-0.525,-0.063,-0.628,-0.042,0,0
1,0,0,0.655,-0.014,0.028,0.063,0,0
1,0,0,5.655,0.03,3.568,0.094,2,1
0,0,1,-1.498,0.047,-0.372,0.032,0,0
1,0,0,0.25,-0.4,0.572,-0.071,0,0
0,1,0,6.374,0.288,7.464,5.881,3,1
0,1,0,1.997,-0.036,0.246,2.611,1,0
0,1,0,0.52,-0.084,0.185,-0.037,0,0
1,0,0,-0.685,0.271,-0.633,-0.012,0,0
0,1,0,3.037,1.217,10.851,-0.078,2,1
1,0,0,0.236,-0.073,1.965,2.379,1,0
0,0,1,2.73,22.378,16.471,-0.041,3,1
0,1,0,-0.986,0.362,-0.46,0.085,0,0
0,1,0,1.87,13.626,8.945,0.044,2,1
0,0,1,-1.735,-0.055,0.386,0.077,0,0
0,1,0,1.76,-0.048,0.683,0.1,0,0
0,1,0,6.456,-0.266,4.608,3.017,3,1
0,0,1,-0.051,0.02,0.058,-0.026,0,0
0,1,0,0.36,-0.184,0.163,0.022,0,0
0,0,1,5.465,-0.058,4.402,3.072,3,1
0,0,1,-1.233,0.105,-0.4,-0.063,0,0
0,1,0,11.605,0.13,5.262,0.004,2,1
1,0,0,1.336,-0.169,-0.269,-0.02,0,0
0,1,0,-0.179,-0.137,-0.054,-0.199,0,0
0,0,1,0.851,-0.208,0.546,0.092,0,0
1,0,0,-0.178,0.047,0.707,-0.071,0,0
0,1,0,0.447,0.458,0.594,-0.06,0,0
1,0,0,2.153,21.693,13.205,-0.093,2,1
0,1,0,-0.941,0.432,0.76,0.069,0,0
0,1,0,-0.298,0.362,0.04,-0.114,0,0
1,0,0,0.94,0.03,0.961,-0.069,0,0
0,0,1,4.239,1.032,14.995,-0.066,2,1
1,0,0,-0.15,0.099,0.066,0.033,0,0
0,0,1,-0.205,-0.241,0.027,-0.181,0,0
1,0,0,0.104,0.217,-0.386,0.063,0,0
0,0,1,4.907,0.874,10.683,-0.075,2,1
0,0,1,1.312,-0.219,-0.238,0.012,0,0
0,0,1,4.503,0.859,13.147,-0.032,2,1
0,0,1,1.168,-0.068,0.709,-0.047,0,0
0,0,1,1.931,-0.001,-0.304,-0.032,0,0
1,0,0,0.022,0.68,0.181,0.055,0,0
1,0,0,0.754,0.34,0.965,3.092,1,0
0,1,0,0.949,-0.087,-0.21,0.015,0,0
1,0,0,0.745,0.015,-0.8,0.076,0,0
0,0,1,4.215,-0.092,7.52,3.08,3,1
1,0,0,3.659,0.031,2.139,2.601,3,0
0,0,1,-1.238,0.297,-0.4,-0.036,0,0
0,1,0,0.814,-0.232,-0.766,0.023,0,0
0,0,1,-0.281,-0.046,0.316,-0.097,0,0
0,0,1,-1.942,-0.225,-0.133,0.049,0,0
0,0,1,0.826,-0.139,0.168,0.144,0,0
0,0,1,6.446,-0.149,7.154,4.451,3,1
0,1,0,-0.44,-0.176,-0.022,0.103,0,0
0,0,1,-0.17,0.051,0.349,-0.041,0,0
0,1,0,-1.229,0.068,0.055,-0.104,0,0
0,1,0,0.766,-0.122,-0.56,0.087,0,0
1,0,0,3.234,0.34,-0.651,-0.014,1,0
1,0,0,8.327,-0.026,3.214,4.492,3,1
0,0,1,0.147,-0.274,0.205,-0.055,0,0
0,0,1,0.203,0.117,1.126,-0.012,0,0
0,0,1,-0.389,-0.369,-0.224,-0.158,0,0
0,0,1,-0.898,0.097,0.296,-0.119,0,0
0,0,1,11.542,-0.041,6.196,-0.205,2,1
1,0,0,-0.649,0.073,0.384,0.097,0,0
0,1,0,-1.51,-0.171,0.06,0.069,0,0
0,1,0,4.916,13.746,17.182,-0.015,3,1
0,1,0,7.195,0.064,3.841,0.002,2,1
1,0,0,5.257,-0.161,3.676,-0.047,2,1
0,0,1,-1.372,-0.109,-0.186,0.044,0,0
0,0,1,-0.308,0.092,0.941,3.369,1,0
1,0,0,2.023,0.975,11.969,0.003,1,1
1,0,0,8.494,0.203,1.663,0.038,1,1
1,0,0,0.411,-0.112,1.393,2.81,1,0
0,0,1,3.468,59.204,8.698,0.093,3,1
0,0,1,1.646,-0.092,-0.4,0.048,0,0
1,0,0,-0.457,0.123,0.29,-0.04,0,0
0,0,1,1.531,37.065,17.068,0.054,2,1
1,0,0,1.218,0.081,0.383,0.029,0,0
0,0,1,-1.823,0.574,0.088,-0.029,0,0
0,0,1,0.013,0.215,-0.202,-0.119,0,0
0,0,1,5.846,-0.182,5.035,3.815,3,1
1,0,0,1.417,-0.01,-0.429,-0.071,0,0
1,0,0,0.084,-0.081,-0.452,0.031,0,0
0,1,0,-0.528,-0.03,0.339,0.119,0,0
1,0,0,5.744,0.194,7.82,-0.236,2,1
1,0,0,4.67,1.083,14.98,0.074,2,1
1,0,0,7.513,-0.222,5.094,4.302,3,1
0,1,0,11.038,0.005,1.581,0.008,1,1
1,0,0,4.107,1.552,10.734,0.057,2,1
0,0,1,0.644,0.013,0.957,-0.002,0,0
0,1,0,9.674,-0.149,3.385,-0.022,2,1
1,0,0,3.912,0.135,4.852,5.491,3,1
0,0,1,0.527,0.006,0.124,-0.016,0,0
0,1,0,0.664,-0.147,-0.083,0.084,0,0
0,1,0,1.38,-0.301,-0.108,0.031,0,0
0,0,1,0.111,-0.116,0.238,0.051,0,0
0,0,1,-0.828,0.115,0.085,0.044,0,0
1,0,0,1.144,-0.218,0.096,-0.025,0,0
0,0,1,-2.002,-0.317,0.06,-0.056,0,0
0,1,0,0.589,-0.077,0.28,0.078,0,0
0,1,0,-0.03,-0.074,-0.017,0.209,0,0
0,0,1,8.622,0.308,1.501,-0.056,1,1
0,1,0,-0.506,8.832,8.294,-0.099,2,1
1,0,0,0.522,0.031,-0.425,0.024,0,0
0,0,1,0.886,-0.199,0.089,-0.013,0,0
1,0,0,0.534,-0.118,0.449,-0.053,0,0
0,1,0,5.555,1.173,17.22,-0.075,2,1
1,0,0,6.702,1.617,11.558,0.075,2,1
1,0,0,1.707,30.318,12.48,-0.198,2,1
0,0,1,8.187,-0.518,7.133,3.268,3,1
0,0,1,3.279,49.303,12.423,0.058,3,1
0,0,1,11.815,0.379,5.712,0.032,2,1
1,0,0,0.313,0.199,-0.8,-0.09,0,0
0,1,0,-0.346,0.315,0.528,0.144,0,0
1,0,0,0.754,0.299,0.313,-0.083,0,0
0,0,1,0.669,-0.248,-0.329,-0.096,0,0
0,1,0,0.82,0.242,0.245,2.682,1,0
1,0,0,8.481,-0.141,6.045,5.919,3,1
1,0,0,3.782,1.399,15.135,-0.066,2,1
0,0,1,-0.167,0.112,-0.4,-0.002,0,0
1,0,0,2.215,15.814,10.764,-0.045,2,1
0,0,1,0.874,-0.143,-0.4,0.047,0,0
0,1,0,-0.571,-0.2,-0.253,0.037,0,0
1,0,0,-0.221,-0.044,0.633,0.128,0,0
0,1,0,-0.38,0.369,-0.402,-0.1,0,0
0,0,1,-2.115,-0.039,0.482,-0.07,0,0
0,0,1,0.224,0.416,-0.07,0.066,0,0
0,0,1,8.144,0.092,5.421,0.013,2,1
1,0,0,1.554,-0.259,0.012,0.126,0,0
0,0,1,-1.21,-0.202,0.666,-0.024,0,0
0,1,0,-0.591,0.088,-0.471,0.014,0,0
0,0,1,1.523,0.297,0.484,-0.021,0,0
1,0,0,-0.61,0.371,-0.307,0.088,0,0
0,1,0,0.299,0.232,-0.292,-0.129,0,0
0,0,1,2.559,1.793,12.151,0.179,2,1
0,1,0,-0.478,-0.379,-0.918,-0.013,0,0
0,0,1,5.398,0.36,5.453,5.587,3,1
1,0,0,5.438,1.418,16.653,0.047,2,1
0,1,0,-0.687,0.016,-0.587,-0.003,0,0
0,1,0,4.144,1.116,14.163,0.026,2,1
1,0,0,0.163,-0.061,0.397,0.017,0,0
1,0,0,1.642,0.149,-0.8,-0.09,0,0
0,1,0,7.934,-0.423,3.316,0.13,2,1
0,1,0,-0.306,-0.349,0.328,0.031,0,0
1,0,0,0.315,-0.129,0.203,-0.024,0,0
0,0,1,0.117,-0.089,1.243,3.049,1,0
0,0,1,-0.321,-0.069,0.62,-0.033,0,0
0,1,0,10.395,-0.002,6.527,0.097,2,1
0,1,0,0.722,0.387,-0.062,-0.033,0,0
1,0,0,1.48,0.015,-0.339,0.077,0,0
0,1,0,1.126,0.015,0.074,0.018,0,0
0,1,0,-0.399,-0.028,-0.22,0.066,0,0
0,0,1,1.011,-0.344,-0.035,-0.121,0,0
1,0,0,-0.885,0.109,0.453,0.054,0,0
0,1,0,-0.198,-0.063,0.05,-0.011,0,0
0,1,0,-3.315,0.427,-0.324,0.008,0,0
1,0,0,-2.195,0.692,0.102,0.069,0,0
0,0,1,4.875,46.591,15.265,0.039,3,1
0,1,0,-0.574,-0.202,-0.554,-0.196,0,0
1,0,0,-0.021,12.909,14.783,0.048,2,1
0,1,0,-0.454,-0.028,0.405,0.04,0,0
0,0,1,-0.493,0.133,-0.094,-0.103,0,0
0,1,0,8.434,0.128,7.789,3.329,3,1
1,0,0,12.746,0.004,6.242,-0.089,2,1
1,0,0,1.45,-0.096,0.046,-0.024,0,0
0,0,1,0.297,-0.481,-0.4,-0.013,0,0
0,1,0,-1.113,-0.258,-0.28,0.104,0,0
1,0,0,2.967,-0.055,1.135,2.442,2,0
0,1,0,1.599,0.135,0.182,-0.123,0,0
0,0,1,4.545,0.813,14.992,0.182,2,1
0,0,1,1.459,-0.043,0.333,0.062,0,0
1,0,0,-0.378,-0.269,-0.359,0.007,0,0
0,1,0,0.306,0.17,0.761,-0.085,0,0
0,1,0,4.169,14.239,8.828,-0.037,3,1
0,1,0,-0.993,-0.11,0.423,-0.125,0,0
0,1,0,-0.716,-0.482,0.255,0.048,0,0
1,0,0,7.396,0.352,4.253,5.81,3,1
0,0,1,7.272,0.005,5.333,4.889,3,1
1,0,0,-0.083,-0.427,0.107,-0.009,0,0
0,0,1,0.053,-0.057,0.497,-0.025,0,0
0,1,0,0.185,-0.406,-0.15,0.033,0,0
0,0,1,0.179,0.08,0.361,-0.093,0,0
0,1,0,0.903,0.042,0.212,0.135,0,0
0,1,0,7.855,-0.079,8.348,2.623,3,1
0,1,0,9.634,0.149,3.621,-0.046,2,1
0,0,1,3.7,0.714,16.945,-0.03,2,1
1,0,0,2.752,22.896,20.354,-0.059,3,1
0,1,0,9.3,-0.239,5.856,-0.079,2,1
0,1,0,4.973,0.329,8.328,5.359,3,1
0,0,1,-0.045,-0.589,0.247,-0.036,0,0
0,1,0,3.465,15.201,11.084,0.037,3,1
1,0,0,0.615,0.218,0.342,-0.057,0,0
1,0,0,-1.369,0.135,-0.218,-0.014,0,0
0,0,1,4.945,57.549,10.664,-0.053,3,1
0,0,1,-0.303,0.352,-0.4,-0.042,0,0
0,0,1,5.244,33.329,12.357,-0.063,3,1
1,0,0,8.199,0.159,7.121,5.857,3,1
0,0,1,8.326,-0.385,5.272,0.05,2,1
0,1,0,-0.605,0.012,0.115,0.149,0,0
0,1,0,8.932,0.05,4.881,2.693,3,1
0,0,1,-1.487,0.373,-0.364,0.057,0,0
1,0,0,7.787,0.579,2.762,0.1,2,1
0,1,0,3.397,6.069,15.05,0.032,3,1
1,0,0,6.353,0.097,6.89,5.569,3,1
0,1,0,1.213,-0.277,-0.136,-0.106,0,0
0,0,1,-0.41,-0.014,-0.223,0.077,0,0
0,1,0,0.212,0.166,-0.399,-0.139,0,0
1,0,0,-2.601,-0.153,-0.647,0,0,0
1,0,0,-0.779,-0.299,0.113,0.097,0,0
1,0,0,6.423,-0.303,4.221,0.042,2,1
0,1,0,7.799,-0.014,7.182,3.744,3,1
0,0,1,0.245,-0.228,-0.021,0.011,0,0
1,0,0,-0.895,-0.195,0.854,-0.088,0,0
1,0,0,4.265,25.715,17.827,0.031,3,1
0,0,1,0.12,0.018,-0.257,0.097,0,0
0,0,1,3.241,44.405,19.394,0.009,3,1
0,0,1,-1.753,-0.034,0.165,-0.039,0,0
1,0,0,0.216,0.045,1.519,1.954,1,0
0,1,0,-0.587,0.004,0.807,-0.186,0,0
0,0,1,-0.355,0.43,-0.067,0.075,0,0
0,0,1,14.63,-0.027,4.518,-0.07,2,1
0,0,1,-0.132,0.133,0.882,0.053,0,0
0,1,0,8.219,-0.094,5.5,-0.048,2,1
1,0,0,0.963,0.153,0.184,0.046,0,0
1,0,0,0.774,0.045,0.825,3.298,1,0
0,1,0,2.534,-0.237,0.644,2.948,2,0
0,1,0,8.967,0.04,3.822,4.563,3,1
0,0,1,5.837,1.349,12.844,0.228,2,1
1,0,0,7.045,-0.572,6.169,-0.173,2,1
1,0,0,0.684,-0.247,0.505,0.005,0,0
0,0,1,1.234,-0.307,-0.029,-0.022,0,0
1,0,0,4.725,-0.381,7.859,4.365,3,1
1,0,0,9.545,-0.23,6.989,3.902,3,1
0,1,0,0.39,-0.472,-0.734,0.088,0,0
0,1,0,-0.458,0.03,0.398,0.03,0,0
0,1,0,1.065,0.07,0.453,-0.002,0,0
0,0,1,0.482,0.291,-0.265,-0.019,0,0
1,0,0,0.315,21.279,8.667,-0.021,2,1
0,0,1,1.05,0.161,-0.31,0.011,0,0
1,0,0,2.584,29.318,8.708,-0.009,3,1
0,1,0,5.164,1.4,14.366,-0.058,2,1
0,0,1,-0.023,-0.108,0.03,0.011,0,0
0,1,0,6.217,0.266,6.622,2.551,3,1
0,1,0,-0.586,0.006,0.91,-0.074,0,0
1,0,0,0.401,-0.169,0.055,0.039,0,0
0,1,0,3.47,1.085,14.872,0.028,2,1
0,1,0,1.503,-0.013,0.432,3.342,1,0
1,0,0,-0.199,-0.325,0.445,-0.028,0,0
0,0,1,6.95,-0.208,5.749,-0.269,2,1
0,0,1,-0.557,0.069,-0.4,-0.025,0,0
0,0,1,-0.795,-0.05,0.31,0.085,0,0
0,0,1,-0.192,-0.191,-0.4,0.015,0,0
1,0,0,-0.7,-0.066,0.13,0.092,0,0
1,0,0,9.441,-0.102,7.258,5.468,3,1
0,1,0,-0.393,-0.077,-0.154,-0.125,0,0
1,0,0,1.633,-0.074,-0.259,-0.047,0,0
0,1,0,-0.187,-0.163,-0.012,-0.011,0,0
0,0,1,-0.545,0.1,0.169,-0.075,0,0
0,0,1,3.43,1.683,11.315,0.109,2,1
0,1,0,0.539,0.569,0.376,0.028,0,0
0,1,0,4.286,-0.171,6.858,3.641,3,1
0,1,0,0.562,-0.287,-0.112,0.116,0,0
0,1,0,3.731,-0.115,9.307,-0.229,2,1
0,1,0,0.869,-0.14,0.205,0.106,0,0
0,1,0,-2.505,0.172,0.514,0.163,0,0
1,0,0,9.819,0.285,2.61,-0.038,2,1
1,0,0,0.598,-0.307,-0.388,-0.007,0,0
0,0,1,3.729,1.124,10.141,-0.018,2,1
0,1,0,1.971,-0.026,-0.221,0.019,0,0
0,0,1,4.396,1.323,10.691,0.137,2,1
1,0,0,0.174,-0.184,0.181,0.063,0,0
0,0,1,0.309,0.098,-0.179,-0.118,0,0
1,0,0,-0.754,0.183,-0.079,-0.08,0,0
0,1,0,3.924,1.338,18.865,-0.02,2,1
1,0,0,-0.535,-0.111,-0.296,-0.013,0,0
0,1,0,5.275,0.369,5.353,-0.062,2,1
1,0,0,0.441,-0.104,1.17,2.219,1,0
0,0,1,5.106,0.258,7.017,-0.124,2,1
0,0,1,1.667,0.243,0.033,0,0,0
1,0,0,-0.874,-0.008,0.463,0.063,0,0
0,1,0,-0.878,-0.169,0.049,0.097,0,0
0,0,1,2.135,25.647,13.075,0.062,2,1
0,1,0,4.865,-0.103,4.777,3.793,3,1
0,0,1,-0.294,0.125,-0.4,-0.071,0,0
0,0,1,-1.338,0.069,0.523,-0.056,0,0
0,1,0,-0.201,0.16,-0.714,0,0,0
1,0,0,0.148,-0.091,-0.397,-0.007,0,0
0,1,0,-0.668,-0.03,-0.009,0.049,0,0
0,0,1,1.283,0.112,0.476,0.008,0,0
0,0,1,0.108,-0.151,-0.113,0.069,0,0
0,0,1,-0.801,-0.18,-0.252,-0.008,0,0
0,1,0,7.844,0.179,2.895,0.117,2,1
1,0,0,-0.623,-0.217,-0.719,-0.056,0,0
0,1,0,-0.932,0.103,1.171,-0.032,0,0
1,0,0,3.876,1.42,14.068,0.046,2,1
1,0,0,0.836,0.072,-0.041,2.329,1,0
